epoch,ax,ay,az,gx,gy,gz,load,offset,error,force,frame,RF,LF,RH,LH
1670699047083.00,0.44615892926658796,0.15850618136708372,1.0693562379648154,-80.28,121.55,173.71,86871,31936,0,227.1039381192584,168,0,0,0,0
1670699047089.00,0.8866038020420139,0.7080812484620311,0.8289653298887385,-80.82,96.8,226.49,86871,31936,0,227.1039381192584,168,0,0,0,0
1670699047099.00,1.267041534948844,1.4976545351723995,0.2785866056279314,-43.34,24.98,216.67,86134,31936,0,225.1722644631868,170,0,0,0,0
1670699047105.00,0.44747329087493176,1.6072294961459965,0.20821784927282688,-35.69,-89.61,156.76,86134,31936,0,225.1722644631868,170,0,0,0,0
1670699047115.00,-0.232100095,1.3068090943622424,-0.69214331,-33.9,-130.25,98.39,86017,31936,0,224.8656079940411,172,0,0,1,0
1670699047121.00,-0.151677977,0.8863957327107579,-1.542499214,-21.34,-65.42,82.53,86017,31936,0,224.8656079940411,172,0,0,1,0
1670699047131.00,-0.21125973,0.4659913207537384,-1.42285194,-60.94,28.26,59.42,85980,31936,0,224.7686311619181,173,0,0,1,0
1670699047137.00,-0.400844663,0.21559741306908942,-1.053203104,-112.05,81.57,41.24,85980,31936,0,224.7686311619181,174,0,0,1,0
1670699047147.00,-0.330431983,-0.264784641,0.2664461635794442,-194.39,166.88,4.76,85865,31936,0,224.4672167,175,0,0,1,0
1670699047153.00,-0.160020778,-0.415153558,0.5260950287029562,-227.89,208.84,-21.17,85865,31936,0,224.4672167,176,0,0,1,1
1670699047163.00,-0.079610022,-0.635507988,0.6457426899146527,-231.88,201.57,-40.68,86200,31936,0,225.34525016373053,177,0,0,1,1
1670699047169.00,-0.009198612,-0.755846417,0.6153881869195417,-262.29,192.29,-27.19,86200,31936,0,225.34525016373053,178,0,0,1,1
1670699047179.00,0.071214587,-0.206167108,0.5250303291616416,-286.57,231.55,-2.74,86101,31936,0,225.08577161291493,179,0,0,1,1
1670699047185.00,0.5516307045779976,0.38353187437345937,0.324667696,-286.72,247.99,27.71,86101,31936,0,225.08577161291493,180,0,0,0,1
1670699047195.00,0.9920507819657733,1.0832525232878991,-0.025701321,-282.68,216.34,34.19,87022,31936,0,227.49970843413877,181,0,0,0,1
1670699047201.00,1.222475641782991,1.3429966712449377,-0.216078439,-271.22,181.01,32.13,87022,31936,0,227.49970843413877,182,0,0,0,1
1670699047211.00,1.482905742352282,1.8727657751546056,-0.956465371,-235.93,32.82,12.69,89507,31936,0,234.01288215915625,183,0,0,0,1
1670699047217.00,1.2833410663614344,1.9225607385106758,-1.256863676,-189.68,-16.81,-1.94,89507,31936,0,234.01288215915625,184,0,0,0,1
