epoch,ax,ay,az,gx,gy,gz,load,offset,error,force,frame,LF,RF,LH,RH,
1670359907386.00,-1.667280742,0.029956708450891295,-2.113930721,137.24,214.64,61.78,-3876,14228,0,-10.48386638,216,1,0,0,0,
1670359907393.00,-0.397501357,0.10993612423218932,1.0560981580582105,102.32,182.13,87.26,-3876,14228,0,-10.48386638,218,1,0,0,0,
1670359907402.00,0.8322761905174785,-0.110076935,3.2861291498847978,176.23,160.68,10.66,-3831,14228,0,-10.36489572,220,1,0,0,0,
1670359907409.00,1.1120544771349707,-0.790085434,2.186165321120171,282.67,102.3,-50.19,-3831,14228,0,-10.36489572,222,1,0,0,0,
1670359907419.00,1.3518358918714626,-1.520092215,1.7962089306710807,286.68,116.31,-63.58,-1982,14228,0,-5.476523759,224,1,0,0,0,
1670359907426.00,1.3716224150167244,-1.610099803,1.296261344553773,286.68,90.45,-50.17,-1982,14228,0,-5.476523759,226,1,0,0,0,
1670359907436.00,0.25141554973507807,-1.020110228,0.5063232179527599,272.35,-15.57,56.17,-903,14228,0,-2.623871867,228,1,0,0,0,
1670359907443.00,0.051216405,-0.740124987,0.6563947114467152,231.04,-55.64,75.67,-903,14228,0,-2.623871867,230,1,1,0,0,
1670359907452.00,-0.498974111,-0.410145141,0.096475668,136.39,-95.12,56.73,-3730,14228,0,-10.0978727,232,0,1,0,0,
1670359907459.00,-0.3291551,-0.34017145,-0.523434248,97.07,-48.81,6.91,-3730,14228,0,-10.0978727,234,0,1,0,0,
1670359907469.00,0.3106744269691742,-0.720204462,-0.463335399,71.16,109.85,-39.96,-4625,14228,0,-12.46406681,236,0,1,0,0,
1670359907476.00,1.2505154919336885,-1.220244509,0.7367719307265481,62.29,129.91,-71,-4625,14228,0,-12.46406681,238,0,1,0,0,
1670359907486.00,1.5303689540962473,-1.120291627,0.28688749642942335,104.04,5.79,-99.66,-5624,14228,0,-15.10521532,240,0,1,0,0,
1670359907493.00,2.450235248666119,-1.25034544,0.747010955,142.62,-0.82,-34.44,-5624,14228,0,-15.10521532,242,0,1,0,0,
1670359907502.00,1.8301141592183083,-2.050405094,1.557141744774812,32.05,-15.19,-74.2,-5749,14228,0,-15.43568935,244,0,1,0,0,
1670359907509.00,0.7800047167319509,-1.800469153,1.1672789612852301,-10.39,0.4,-132.77,-5749,14228,0,-15.43568935,246,0,1,0,0,
1670359907519.00,0.12990531462134472,-1.010535517,0.5074212559356595,-11.79,-2.16,-256.18,-5514,14228,0,-14.81439816,248,0,1,0,0,
1670359907526.00,-0.070186025,-0.490601468,0.2575668744870824,-24.44,-19.41,-260.79,-5514,14228,0,-14.81439816,250,0,1,0,0,
1670359907536.00,-0.500271405,0.1493361369565922,-0.812286174,-73.01,-68.69,-214.73,-6129,14228,0,-16.44033043,252,0,0,0,0,
1670359907543.00,-0.650352881,0.3592806396848621,-1.052139891,-89.65,-63.29,-195.34,-6129,14228,0,-16.44033043,254,0,0,0,0,
1670359907552.00,-0.32043236,0.6692353792838084,-1.011996066,-146.67,0.94,-138.39,-6334,14228,0,-16.98230785,256,0,0,0,0,
1670359907559.00,0.049488431242776465,0.9692035478674341,-0.601856139,-217.29,53.92,-110.37,-6334,14228,0,-16.98230785,258,0,0,0,0,
1670359907569.00,0.12940788481513102,1.4791880642387039,-0.261721206,-230.78,-32.79,-101.73,-5983,14228,0,-16.05433675,260,0,0,0,0,
